Begrip;Uitleg
Import (invoer);De aankoop van producten in het buitenland.
Importquote;De import in procenten van de totale productie van een land (het bbp).
Export (uitvoer);De verkoop van producten aan het buitenland.
Exportquote;De export in procenten van de totale productie van een land (het bbp).
Internationale arbeidsverdeling;De productie is verdeeld over verschillende landen.
Betalingsbalans;Overzicht van betalingen aan en uit het buitenland.
Dekkingsgraad;De mate waarin een land de import kan betalen uit de exportopbrengsten.
Open economie;Economie van een land waarin de invoer en uitvoer groot zijn in verhouding tot de productie.
Gesloten economie;Economie van een land waarin de invoer en uitvoer klein zijn in verhouding tot de productie.
Vrijhandel;Invoer en uitvoer zonder belemmeringen door protectie.
Kartel;Een aantal bedrijven dat de concurrentie beperkt met verboden prijsafspraken.
Europese Monetaire Unie (EMU);De Europese landen waar de euro als geld wordt gebruikt.
Wisselkoers;De prijs van één buitenlandse munteenheid in euro’s.
Vreemde valuta;Een andere geldsoort dan de euro.
Transactiekosten;De kosten die in rekening worden gebracht voor een transactie, zoals geld wisselen.
Protectie;Maatregelen van de overheid waardoor de import van producten wordt tegengewerkt.
Invoerrechten;Belasting waardoor importproducten duurder worden.
Contingentering (importquotum);Beperking van de import van een product tot een bepaalde hoeveelheid.
Gemeenschappelijk buitentarief;Een groep landen hanteert dezelfde invoerrechten op importproducten uit landen buiten deze groep.
