Begrip;Uitleg
primair inkomen;Ontvangst van loon, winst, huur, pacht en rente waarvoor je een tegenprestatie levert.
modaal inkomen;Het meest voorkomende inkomen in een land.
lorenzcurve;Een grafiek waarmee je de verdeling van het inkomen in een land zichtbaar maakt.
secundair inkomen (overdrachtsinkomen);Ontvangst van een uitkering, toeslag of subsidie zonder dat je daarvoor een tegenprestatie hoeft te leveren.
armoedeval;Het verschijnsel dat het voor mensen met een uitkering niet lonend is om te gaan werken.
vergrijzing;Het verschijnsel dat de groep 67-plussers sterker toeneemt dan de rest van de bevolking.
nivelleren;Mensen met een laag inkomen gaan er in verhouding meer op vooruit dan mensen met een hoog inkomen.
denivelleren;Mensen met een hoog inkomen gaan er in verhouding meer op vooruit dan mensen met een laag inkomen.
zwartgeld;Inkomsten en vermogen waarover ten onrechte geen belasting is betaald.
grijsgeld;Inkomsten of vermogen waarover geen belasting wordt betaald door ontwijking van de belastingregels.
inflatie;De gemiddelde stijging van de prijzen.
deflatie;De gemiddelde daling van de prijzen.
consumentenprijsindex (CPI);Indexcijfer dat de gemiddelde verandering van het prijspeil weergeeft over een bepaalde periode.
bestedingsinflatie;Het prijspeil stijgt doordat producenten moeite hebben om aan de toenemende vraag te voldoen.
kosteninflatie;Het prijspeil stijgt doordat producenten de gestegen kosten verrekenen in de prijs.
geldontwaarding;Voor een euro kun je minder producten kopen.
koopkracht;De hoeveelheid producten die je van een hoeveelheid geld kunt kopen.
ECB;Europese Centrale Bank die let op het geldverkeer en de stabiliteit van de banken.
nominaal (nationaal) inkomen;Het inkomen in geld van één persoon (of van een heel land).
prijscompensatie;Het deel van de inkomensstijging dat nodig is om de koopkracht te handhaven.
reëel (nationaal) inkomen;De koopkracht van het inkomen van één persoon (of van een heel land).
planeconomie;De overheid bepaalt wat, hoeveel, door wie en voor welke prijs er geproduceerd wordt.
vrijemarkteconomie;Producenten en consumenten bepalen wat, hoeveel, door wie en voor welke prijs er geproduceerd wordt, zonder overheidsbemoeienis.
georiënteerde markteconomie;Producenten en consumenten bepalen wat, hoeveel en voor welke prijs er geproduceerd wordt binnen door de overheid gestelde grenzen.
deregulering;"De overheid bemoeit zich minder met de economie; de economie schuift richting de vrijemarkteconomie."
regulering;"De overheid bemoeit zich meer met de economie; de economie schuift richting de planeconomie."
economische groei;De groei van de productie in een land.
